timestamp_local,weekday,official_hours,os,dns_hostname,dns_time_ms,dns_error,http_url,http_time_ms,http_status,http_error,ping_target,ping_rc,ping_elapsed_ms,ping_loss_pct,ping_rtt_min_ms,ping_rtt_avg_ms,ping_rtt_max_ms,ping_jitter_ms,ping_stderr,notes
2026-01-16 15:55:00,Friday,yes,Windows,www.google.com,2,,https://www.google.com/generate_204,179,204,,1.1.1.1,0,9151,0.0,30.0,31.1,37.0,2.0223748416156684,,
2026-01-16 15:55:00,Friday,yes,Windows,www.google.com,2,,https://www.google.com/generate_204,179,204,,8.8.8.8,0,9130,0.0,30.0,31.1,35.0,1.7578395831246947,,
2026-01-16 16:00:00,Friday,yes,Windows,www.google.com,79,,https://www.google.com/generate_204,352,204,,192.168.0.1,1,18773,100.0,,,,,,
2026-01-16 16:00:00,Friday,yes,Windows,www.google.com,79,,https://www.google.com/generate_204,352,204,,1.1.1.1,0,9130,0.0,30.0,31.0,35.0,1.4142135623730951,,
2026-01-16 16:00:00,Friday,yes,Windows,www.google.com,79,,https://www.google.com/generate_204,352,204,,8.8.8.8,0,9137,0.0,30.0,30.2,32.0,0.6,,
2026-01-16 16:05:00,Friday,yes,Windows,www.google.com,188,,https://www.google.com/generate_204,116,204,,192.168.0.1,1,18917,100.0,,,,,,
2026-01-16 16:05:00,Friday,yes,Windows,www.google.com,188,,https://www.google.com/generate_204,116,204,,1.1.1.1,0,9124,0.0,30.0,30.6,31.0,0.4898979485566356,,
2026-01-16 16:05:00,Friday,yes,Windows,www.google.com,188,,https://www.google.com/generate_204,116,204,,8.8.8.8,0,9135,0.0,30.0,30.2,32.0,0.6,,
2026-01-16 16:10:00,Friday,yes,Windows,www.google.com,2,,https://www.google.com/generate_204,175,204,,192.168.0.1,1,18543,100.0,,,,,,
2026-01-16 16:10:00,Friday,yes,Windows,www.google.com,2,,https://www.google.com/generate_204,175,204,,1.1.1.1,0,9114,0.0,30.0,31.4,34.0,1.42828568570857,,
2026-01-16 16:10:00,Friday,yes,Windows,www.google.com,2,,https://www.google.com/generate_204,175,204,,8.8.8.8,0,9117,0.0,30.0,30.6,33.0,1.019803902718557,,
2026-01-16 16:15:00,Friday,yes,Windows,www.google.com,2,,https://www.google.com/generate_204,308,204,,192.168.0.1,1,18942,100.0,,,,,,
